aa1.png	Молдова
aa1007.png	продолжила борьбу
aa101.png	разработанные
aa1012.png	Плачи
aa1013.png	Гимны богам
aa1017.png	(вспомнить
aa1018.png	миф
aa1019.png	созда-
aa102.png	Даже работа
aa1021.png	людей).
aa1024.png	богу
aa1025.png	об
aa1027.png	Урук
aa1028.png	(следы
aa1029.png	ведут
aa1031.png	объеди-
aa1032.png	земли
aa1034.png	Мифы
aa1035.png	Восточное
aa1037.png	Речь
aa1039.png	Малая
aa1040.png	Азия
aa1043.png	прилегающие
aa1044.png	территории
aa1046.png	нет
aa1049.png	Угарит
aa105.png	сложных
aa1050.png	рек,
aa1051.png	входит
aa1053.png	море
aa1054.png	Библ
aa1055.png	Пальмира
aa1059.png	Ливан) сама
aa106.png	явлений
aa1060.png	(очень
aa1062.png	география
aa1067.png	побережые
aa107.png	и.
aa1070.png	Египет
aa1072.png	река
aa1073.png	Иордан,
aa1074.png	Мёртвое море.
aa1075.png	Привлекали в
aa1076.png	этот регион
aa1079.png	ход
aa108.png	процессов).
aa1082.png	нет
aa1085.png	эпохи
aa1087.png	Иерихон
aa1090.png	Возможно,
aa1091.png	из
aa1092.png	этого региона
aa1094.png	семитов
aa1095.png	но
aa1102.png	Арамей
aa1108.png	(совр. Тель-
aa111.png	31
aa1110.png	открытие
aa1111.png	горо-
aa1112.png	да
aa1113.png	было
aa1114.png	важным
aa1115.png	т.к.
aa1116.png	было
aa1117.png	открыто
aa1119.png	так
aa112.png	соц
aa1120.png	же
aa1122.png	в 75 км
aa1123.png	не
aa1126.png	17000
aa1128.png	на
aa1129.png	неизвестном
aa1131.png	Велика
aa1133.png	из
aa1134.png	крупнейших
aa1135.png	партнёров
aa1136.png	Транзит.
aa1137.png	ная
aa1141.png	Эбла
aa1143.png	царя
aa1145.png	советуют
aa1149.png	царя.
aa1151.png	ходили
aa1153.png	Саргона),
aa1158.png	сер.
aa1160.png	до
aa1163.png	Библ
aa1165.png	импортировал
aa1166.png	из Библа
aa1170.png	верховным
aa1171.png	богом Элом.
aa1172.png	Есть
aa1173.png	интересные
aa1174.png	гробницы.
aa1175.png	вах.
aa1176.png	пойдёт
aa118.png	взаимосвяз.
aa1181.png	Амореи
aa1182.png	Саргон
aa1183.png	внук
aa1185.png	вино,
aa1186.png	именах
aa1188.png	целые выражения
aa1190.png	Я об-
aa1193.png	Овечка
aa1195.png	табличек
aa1197.png	его
aa1198.png	не знаю, не
aa1199.png	видел
aa1204.png	Рассказ
aa1205.png	том
aa1206.png	как
aa1208.png	Тиамат
aa1209.png	получает от
aa1211.png	из
aa1215.png	их
aa1217.png	создал
aa1218.png	(Землю)
aa1219.png	из
aa122.png	со
aa1220.png	про-
aa1221.png	ви
aa1222.png	её
aa1223.png	супруга
aa1225.png	Представление
aa123.png	сложны
